Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,State,Year,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days
T+0_R-30,Drought,0.0,-30.0,Adamawa,2024,North,632.968,3318.585,12,32.403423913043476,23.668152173913047,72.47163043478261,18.33570652173913,-1.7309865590232532,184,184
T+0_R-30,Drought,0.0,-30.0,Akwa Ibom,2024,South,1308.3629999999998,4694.005000000001,28,29.75338181818182,24.384836363636364,87.72872727272728,15.994727272727273,-2.993149340398346,275,275
T+0_R-30,Drought,0.0,-30.0,Anambra,2024,South,942.9069999999999,4641.875,23,30.05850909090909,23.700581818181817,86.4098909090909,16.76098181818182,-1.4348027844410607,275,275
T+0_R-30,Drought,0.0,-30.0,Bauchi,2024,North,759.5769999999999,3200.24,16,31.968804347826087,22.816413043478263,71.98304347826088,19.371358695652173,0.36593084367416473,184,184
T+0_R-30,Drought,0.0,-30.0,Bayelsa,2024,South,1318.0859999999998,4720.065,21,29.968800000000005,24.358945454545456,88.53152727272726,14.644981818181817,-1.4307064135056649,275,275
T+0_R-30,Drought,0.0,-30.0,Benue,2024,Middle,674.2049999999999,3758.71,10,31.120794392523365,24.007336448598124,81.08780373831776,17.053878504672895,-1.6131576181780294,214,214
T+0_R-30,Drought,0.0,-30.0,Borno,2024,North,408.212,3727.105,29,35.42760869565217,25.08440217391305,58.93391304347826,19.25429347826087,-0.9542492161724904,184,184
T+0_R-30,Drought,0.0,-30.0,Cross River,2024,South,1308.3629999999998,4694.005000000001,28,29.75338181818182,24.384836363636364,87.72872727272728,14.285345454545455,-2.993149340398346,275,275
T+0_R-30,Drought,0.0,-30.0,Delta,2024,South,942.9069999999999,4641.875,23,30.05850909090909,23.700581818181817,86.4098909090909,16.385490909090908,-1.4348027844410607,275,275
T+0_R-30,Drought,0.0,-30.0,Ebonyi,2024,South,632.4289999999999,4949.355,32,31.964545454545455,24.030763636363638,78.39523636363637,17.160509090909088,-2.1619014720870076,275,275
T+0_R-30,Drought,0.0,-30.0,Edo,2024,South,949.0459999999998,4583.4349999999995,12,29.720836363636366,23.613236363636364,89.4073090909091,15.766727272727271,-1.354427301631764,275,275
T+0_R-30,Drought,0.0,-30.0,Ekiti,2024,South,949.7599999999999,4302.264999999999,20,29.06705454545454,22.222145454545455,86.85934545454545,16.821854545454546,-1.8937447398871368,275,275
T+0_R-30,Drought,0.0,-30.0,Enugu,2024,South,683.1299999999999,4722.129999999999,32,30.869672727272725,23.47309090909091,81.54152727272727,16.76098181818182,-2.25395915261936,275,275
T+0_R-30,Drought,0.0,-30.0,FCT,2024,Middle,808.0169999999999,3569.0699999999997,11,30.605186915887852,22.750607476635516,80.45640186915888,17.145467289719626,-1.199988819109454,214,214
T+0_R-30,Drought,0.0,-30.0,Gombe,2024,North,1003.4150000000001,3255.21,28,31.93304347826087,23.449673913043476,73.95494565217392,19.025163043478262,0.7230701786723942,184,184
T+0_R-30,Drought,0.0,-30.0,Imo,2024,South,1122.5059999999999,4689.094999999999,21,30.224945454545455,23.877563636363636,87.54370909090908,15.994727272727273,-1.2240262780352293,275,275
T+0_R-30,Drought,0.0,-30.0,Jigawa,2024,North,712.7819999999999,3497.245,16,34.34570652173913,23.667826086956516,65.43054347826087,19.946739130434782,0.8863646203500427,184,184
T+0_R-30,Drought,0.0,-30.0,Kaduna,2024,North,1019.7879999999999,2800.6800000000003,9,29.123260869565218,21.31891304347826,82.87179347826087,17.654891304347824,-0.6542678124854363,184,184
T+0_R-30,Drought,0.0,-30.0,Kano,2024,North,700.966,3483.455,16,34.5625,23.301141304347826,65.6521195652174,20.282445652173912,0.6755608428741803,184,184
T+0_R-30,Drought,0.0,-30.0,Katsina,2024,North,903.602,3208.635,17,31.866684782608697,23.009782608695648,71.46581521739131,19.780108695652174,2.3283807982797993,184,184
T+0_R-30,Drought,0.0,-30.0,Kebbi,2024,North,1490.972,3373.3050000000003,14,32.69858695652174,23.967771739130434,77.36255434782608,19.648369565217394,7.094366710318714,184,184
T+0_R-30,Drought,0.0,-30.0,Kogi,2024,Middle,613.347,3787.005,7,31.41172897196261,23.980841121495335,80.40649532710282,16.695794392523368,-1.8449780752984135,214,214
T+0_R-30,Drought,0.0,-30.0,Kwara,2024,Middle,850.7729999999999,3515.295,13,30.14434579439252,22.7088785046729,83.5259813084112,16.815327102803735,-1.2785915435300275,214,214
T+0_R-30,Drought,0.0,-30.0,Lagos,2024,South,921.6619999999999,4739.834999999999,16,29.03090909090909,25.44061818181818,86.61469090909091,16.325090909090907,-1.862669761647211,275,275
T+0_R-30,Drought,0.0,-30.0,Nasarawa,2024,Middle,716.5059999999999,3821.105,16,31.623457943925235,24.087803738317753,78.61088785046731,17.359859813084114,-0.9382791076943633,214,214
T+0_R-30,Drought,0.0,-30.0,Niger,2024,Middle,636.097,3892.51,8,32.02266355140187,24.355934579439253,77.47570093457945,17.4807476635514,-1.9643949916169592,214,214
T+0_R-30,Drought,0.0,-30.0,Ogun,2024,South,1123.92,4582.57,16,29.627236363636364,23.700545454545452,89.01341818181818,16.325090909090907,-1.5940136962197522,275,275
T+0_R-30,Drought,0.0,-30.0,Ondo,2024,South,949.7599999999999,4302.264999999999,20,29.06705454545454,22.222145454545455,86.85934545454545,16.821854545454546,-1.8937447398871368,275,275
T+0_R-30,Drought,0.0,-30.0,Osun,2024,South,1175.6009999999999,4410.16,20,29.385927272727276,22.687963636363634,88.06992727272726,15.928509090909092,-1.4451096616109254,275,275
T+0_R-30,Drought,0.0,-30.0,Oyo,2024,South,1142.7849999999999,4472.030000000001,20,29.674945454545455,22.848909090909093,87.58556363636363,15.93450909090909,-1.651341648022328,275,275
