Model,State,Year,Feature,Feature_Value,SHAP_Value,Absolute_SHAP
LightGBM,Benue,2024,Mean_Solar_Radiation_MJ_m2_day,17.053878504672895,0.06996939826541883,0.06996939826541883
LightGBM,Benue,2024,Rainfall_Anomaly_Z_2000_2019,-0.7241881075650654,-0.037669205045500115,0.037669205045500115
LightGBM,Borno,2024,Seasonal_Rainfall_mm,583.16,0.002595321399178611,0.002595321399178611
LightGBM,Borno,2024,Seasonal_GDD_C,3727.105,0.29617933505504046,0.29617933505504046
LightGBM,Borno,2024,Max_CDD_days,29.0,-0.023334116261943302,0.023334116261943302
LightGBM,Borno,2024,Mean_Tmax_C,35.42760869565217,0.0811076930098139,0.0811076930098139
LightGBM,Borno,2024,Mean_Tmin_C,25.08440217391305,0.005424559235773848,0.005424559235773848
LightGBM,Borno,2024,Mean_RH_pct,58.93391304347826,-0.07098814032845956,0.07098814032845956
LightGBM,Borno,2024,Mean_Solar_Radiation_MJ_m2_day,19.25429347826087,0.2001490426791708,0.2001490426791708
LightGBM,Borno,2024,Rainfall_Anomaly_Z_2000_2019,0.4205674837447025,-0.021878044304750103,0.021878044304750103
LightGBM,Cross River,2024,Seasonal_Rainfall_mm,1869.09,-0.001809763641750236,0.001809763641750236
LightGBM,Cross River,2024,Seasonal_GDD_C,4694.005000000001,-0.2974636694519862,0.2974636694519862
LightGBM,Cross River,2024,Max_CDD_days,18.0,-0.01472775653653158,0.01472775653653158
LightGBM,Cross River,2024,Mean_Tmax_C,29.75338181818182,0.12555275237776006,0.12555275237776006
LightGBM,Cross River,2024,Mean_Tmin_C,24.384836363636364,-0.03290129041048482,0.03290129041048482
LightGBM,Cross River,2024,Mean_RH_pct,87.72872727272728,-0.00024250644411039028,0.00024250644411039028
LightGBM,Cross River,2024,Mean_Solar_Radiation_MJ_m2_day,14.285345454545457,0.028005122516222704,0.028005122516222704
LightGBM,Cross River,2024,Rainfall_Anomaly_Z_2000_2019,-1.8894777114847496,-0.0980241772431255,0.0980241772431255
LightGBM,Delta,2024,Seasonal_Rainfall_mm,1347.01,-0.011152545840465506,0.011152545840465506
LightGBM,Delta,2024,Seasonal_GDD_C,4641.875,-0.2571549095366748,0.2571549095366748
LightGBM,Delta,2024,Max_CDD_days,21.0,-0.008139596692454626,0.008139596692454626
LightGBM,Delta,2024,Mean_Tmax_C,30.05850909090909,0.1230525383122339,0.1230525383122339
LightGBM,Delta,2024,Mean_Tmin_C,23.700581818181817,0.06494491170253841,0.06494491170253841
LightGBM,Delta,2024,Mean_RH_pct,86.4098909090909,-0.0003664397185594946,0.0003664397185594946
LightGBM,Delta,2024,Mean_Solar_Radiation_MJ_m2_day,16.385490909090908,0.04625420785722399,0.04625420785722399
LightGBM,Delta,2024,Rainfall_Anomaly_Z_2000_2019,-0.6683966152075341,-0.07150004013324747,0.07150004013324747
LightGBM,Ebonyi,2024,Seasonal_Rainfall_mm,903.47,0.018832059724109083,0.018832059724109083
LightGBM,Ebonyi,2024,Seasonal_GDD_C,4949.355,-0.31553200260300307,0.31553200260300307
LightGBM,Ebonyi,2024,Max_CDD_days,32.0,-0.002023801155660662,0.002023801155660662
LightGBM,Ebonyi,2024,Mean_Tmax_C,31.96454545454545,0.1367274892973833,0.1367274892973833
LightGBM,Ebonyi,2024,Mean_Tmin_C,24.03076363636364,-0.05827199673123703,0.05827199673123703
LightGBM,Ebonyi,2024,Mean_RH_pct,78.39523636363637,0.036251414766128566,0.036251414766128566
LightGBM,Ebonyi,2024,Mean_Solar_Radiation_MJ_m2_day,17.160509090909088,0.029222649222110347,0.029222649222110347
LightGBM,Ebonyi,2024,Rainfall_Anomaly_Z_2000_2019,-1.546026003363861,-0.09370518567643636,0.09370518567643636
LightGBM,Edo,2024,Seasonal_Rainfall_mm,1355.78,-0.005466673084236029,0.005466673084236029
LightGBM,Edo,2024,Seasonal_GDD_C,4583.435,-0.23234030227851607,0.23234030227851607
LightGBM,Edo,2024,Max_CDD_days,12.0,-0.0051826789509215355,0.0051826789509215355
LightGBM,Edo,2024,Mean_Tmax_C,29.72083636363637,0.14397111229749268,0.14397111229749268
LightGBM,Edo,2024,Mean_Tmin_C,23.613236363636364,0.07763959175303249,0.07763959175303249
LightGBM,Edo,2024,Mean_RH_pct,89.4073090909091,0.03744201364801645,0.03744201364801645
LightGBM,Edo,2024,Mean_Solar_Radiation_MJ_m2_day,15.766727272727271,-0.013945877512672572,0.013945877512672572
LightGBM,Edo,2024,Rainfall_Anomaly_Z_2000_2019,-0.6234406615451246,-0.0659088166749753,0.0659088166749753
LightGBM,Ekiti,2024,Seasonal_Rainfall_mm,1356.8000000000002,-0.0055001592155521604,0.0055001592155521604
LightGBM,Ekiti,2024,Seasonal_GDD_C,4302.264999999999,0.003281330661668879,0.003281330661668879
LightGBM,Ekiti,2024,Max_CDD_days,20.0,0.03343055031541078,0.03343055031541078
LightGBM,Ekiti,2024,Mean_Tmax_C,29.06705454545454,-0.034741712786273735,0.034741712786273735
LightGBM,Ekiti,2024,Mean_Tmin_C,22.22214545454545,-0.02348881879056978,0.02348881879056978
LightGBM,Ekiti,2024,Mean_RH_pct,86.85934545454545,-0.007287663253144031,0.007287663253144031
LightGBM,Ekiti,2024,Mean_Solar_Radiation_MJ_m2_day,16.821854545454546,0.0660385592075891,0.0660385592075891
LightGBM,Ekiti,2024,Rainfall_Anomaly_Z_2000_2019,-0.4765436240340352,0.013482183786242595,0.013482183786242595
LightGBM,Enugu,2024,Seasonal_Rainfall_mm,975.9,0.03170853923180599,0.03170853923180599
LightGBM,Enugu,2024,Seasonal_GDD_C,4722.129999999999,-0.2763609766235979,0.2763609766235979
LightGBM,Enugu,2024,Max_CDD_days,29.0,-0.012028974047911865,0.012028974047911865
LightGBM,Enugu,2024,Mean_Tmax_C,30.869672727272725,0.12194608904881442,0.12194608904881442
LightGBM,Enugu,2024,Mean_Tmin_C,23.47309090909091,0.09364817757455789,0.09364817757455789
LightGBM,Enugu,2024,Mean_RH_pct,81.54152727272727,-0.013115538864345877,0.013115538864345877
LightGBM,Enugu,2024,Mean_Solar_Radiation_MJ_m2_day,16.76098181818182,0.048585870448252584,0.048585870448252584
LightGBM,Enugu,2024,Rainfall_Anomaly_Z_2000_2019,-1.4811767773960565,-0.1071055041520128,0.1071055041520128
LightGBM,FCT,2024,Seasonal_Rainfall_mm,1154.31,0.05515116294919048,0.05515116294919048
LightGBM,FCT,2024,Seasonal_GDD_C,3569.07,0.17268551699666923,0.17268551699666923
LightGBM,FCT,2024,Max_CDD_days,11.0,-0.0036422079231800118,0.0036422079231800118
LightGBM,FCT,2024,Mean_Tmax_C,30.60518691588785,0.10708198368326766,0.10708198368326766
LightGBM,FCT,2024,Mean_Tmin_C,22.75060747663552,0.06719054389365596,0.06719054389365596
LightGBM,FCT,2024,Mean_RH_pct,80.45640186915888,0.05649179819821943,0.05649179819821943
LightGBM,FCT,2024,Mean_Solar_Radiation_MJ_m2_day,17.145467289719626,0.081284814115009,0.081284814115009
LightGBM,FCT,2024,Rainfall_Anomaly_Z_2000_2019,-0.0856823432362582,0.05423454716935538,0.05423454716935538
LightGBM,Gombe,2024,Seasonal_Rainfall_mm,1433.4500000000005,-0.0032203860237676883,0.0032203860237676883
LightGBM,Gombe,2024,Seasonal_GDD_C,3255.21,0.16864267549052875,0.16864267549052875
LightGBM,Gombe,2024,Max_CDD_days,16.0,0.11655250164339527,0.11655250164339527
LightGBM,Gombe,2024,Mean_Tmax_C,31.93304347826087,0.08832215909024047,0.08832215909024047
LightGBM,Gombe,2024,Mean_Tmin_C,23.44967391304348,0.08511518079910935,0.08511518079910935
LightGBM,Gombe,2024,Mean_RH_pct,73.95494565217392,0.01905345812000973,0.01905345812000973
LightGBM,Gombe,2024,Mean_Solar_Radiation_MJ_m2_day,19.025163043478265,0.17927582351417445,0.17927582351417445
LightGBM,Gombe,2024,Rainfall_Anomaly_Z_2000_2019,2.8998050239842987,0.01919816476927103,0.01919816476927103
LightGBM,Imo,2024,Seasonal_Rainfall_mm,1603.58,0.026064912056210983,0.026064912056210983
LightGBM,Imo,2024,Seasonal_GDD_C,4689.094999999999,-0.2572015130748848,0.2572015130748848
LightGBM,Imo,2024,Max_CDD_days,21.0,-0.012951814636033279,0.012951814636033279
LightGBM,Imo,2024,Mean_Tmax_C,30.22494545454545,0.14988948123669327,0.14988948123669327
LightGBM,Imo,2024,Mean_Tmin_C,23.87756363636364,-0.04118160368650118,0.04118160368650118
LightGBM,Imo,2024,Mean_RH_pct,87.54370909090908,0.006195926928987672,0.006195926928987672
LightGBM,Imo,2024,Mean_Solar_Radiation_MJ_m2_day,15.994727272727271,-0.0017969648075893375,0.0017969648075893375
LightGBM,Imo,2024,Rainfall_Anomaly_Z_2000_2019,-0.383602963468342,0.03160833492188775,0.03160833492188775
LightGBM,Jigawa,2024,Seasonal_Rainfall_mm,1018.26,0.04181273277323591,0.04181273277323591
LightGBM,Jigawa,2024,Seasonal_GDD_C,3497.245,0.0743608447815623,0.0743608447815623
LightGBM,Jigawa,2024,Max_CDD_days,16.0,0.07946036016019707,0.07946036016019707
LightGBM,Jigawa,2024,Mean_Tmax_C,34.34570652173913,0.04074850271953741,0.04074850271953741
