State,Geopolitical_Zone,Year,Yield_MT_Ha,Source_Report,Source_Table,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days,Rainfall_Flag
Imo,South East,2023,2.41,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1735.31,4579.02,5,29.56218181818182,23.73978181818182,89.20345454545453,15.72330909090909,-0.1534742031780414,275,275,ok
Imo,South East,2024,2.48,Agricultural Productivity Survey 2024,Table 12.2,South,1603.58,4689.094999999999,21,30.22494545454545,23.87756363636364,87.54370909090908,15.994727272727271,-0.383602963468342,275,275,ok
Jigawa,North West,2020,1.79,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,851.5999999999999,3321.045,16,33.74978260869566,22.348532608695653,68.13733695652174,20.467554347826084,1.679476415294946,184,184,ok
Jigawa,North West,2021,1.83,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,1693.5699999999997,3304.925,32,33.43597826086957,22.48711956521739,68.0983695652174,21.41565217391304,6.489921299890317,184,184,ok
Jigawa,North West,2022,1.93,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,718.69,3310.585,16,33.77864130434782,22.205978260869568,67.55021739130434,20.08516304347826,0.9201189208336584,184,184,ok
Jigawa,North West,2023,1.97,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,343.38,3811.69,33,37.27913043478261,24.152282608695653,52.30978260869565,20.84434782608696,-1.2241475846683063,184,184,ok
Jigawa,North West,2024,2.03,Agricultural Productivity Survey 2024,Table 12.2,North,1018.26,3497.245,16,34.34570652173913,23.66782608695652,65.43054347826087,19.946739130434786,2.6316584935954377,184,184,ok
Kaduna,North West,2020,2.56,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,2498.0,2570.3499999999995,12,27.51380434782609,20.42478260869565,86.65114130434782,18.71565217391305,3.734242709630624,184,184,ok
Kaduna,North West,2021,2.57,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,5688.79,2663.585,6,28.111249999999995,20.84076086956522,85.2183152173913,19.411195652173912,13.207048700153434,184,184,very_high
Kaduna,North West,2022,2.73,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,3217.49,2545.795,17,27.35760869565217,20.31407608695652,86.62646739130435,18.07858695652174,5.870262059735537,184,184,very_high
Kaduna,North West,2023,2.78,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,1659.07,2768.665,13,28.909130434782607,21.185054347826085,83.20315217391304,19.297065217391303,1.243630312816888,184,184,ok
Kaduna,North West,2024,3.15,Agricultural Productivity Survey 2024,Table 12.2,North,1456.84,2800.6800000000003,9,29.12326086956521,21.31891304347826,82.87179347826087,17.654891304347824,0.6432506088992294,184,184,ok
Kano,North West,2020,2.7,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,893.86,3296.535,16,33.73190217391304,22.1,68.94135869565218,21.42690217391304,1.802073747128026,184,184,ok
Kano,North West,2021,2.69,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,1844.93,3265.01,16,33.40635869565217,22.08288043478261,69.32342391304348,22.39717391304348,7.356381438651374,184,184,ok
Kano,North West,2022,2.93,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,734.81,3241.1,12,33.46190217391304,21.76744565217391,69.49967391304348,20.713478260869564,0.8732118985398156,184,184,ok
Kano,North West,2023,2.99,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,341.01,3718.16,29,36.91141304347826,23.5033695652174,55.56364130434783,21.51934782608696,-1.4266044860816052,184,184,ok
Kano,North West,2024,3.08,Agricultural Productivity Survey 2024,Table 12.2,North,1001.38,3483.455,16,34.5625,23.301141304347823,65.6521195652174,20.282445652173912,2.4299972049098817,184,184,ok
Katsina,North West,2020,2.0,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,1286.37,3047.695,22,31.075434782608696,22.051684782608696,73.52309782608695,20.7358695652174,5.668777987207091,184,184,ok
Katsina,North West,2021,1.94,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,1784.42,3183.3,16,32.14059782608695,22.46048913043478,67.67728260869565,21.758967391304346,10.01523542342234,184,184,ok
Katsina,North West,2022,2.21,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,1292.12,3019.4,24,31.03358695652174,21.78597826086957,72.87679347826086,20.36951086956521,5.71895794957681,184,184,ok
Katsina,North West,2023,2.26,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,971.02,3287.665,29,32.88858695652174,22.846902173913044,65.37760869565217,21.052663043478265,2.916734311852252,184,184,ok
