State,Geopolitical_Zone,Year,Yield_MT_Ha,Source_Report,Source_Table,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days,Rainfall_Flag
Katsina,North West,2024,2.44,Agricultural Productivity Survey 2024,Table 12.2,North,1290.86,3208.635,17,31.866684782608697,23.009782608695648,71.46581521739131,19.78010869565217,5.707961992605359,184,184,ok
Kebbi,North West,2020,1.99,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,1098.97,3345.455,13,32.88293478260869,23.48070652173913,73.88619565217392,20.12972826086957,3.3367355138334545,184,184,ok
Kebbi,North West,2021,1.97,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,920.31,3519.02,17,34.18869565217391,24.06152173913044,68.49184782608695,21.076467391304348,1.6241463189720584,184,184,ok
Kebbi,North West,2022,2.11,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,975.8,3340.33,17,33.03179347826087,23.276141304347824,72.70076086956522,20.489239130434783,2.1560593068980567,184,184,ok
Kebbi,North West,2023,2.15,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,720.83,3586.71,14,34.64554347826088,24.340434782608693,67.71929347826088,21.040978260869565,-0.2880180859924044,184,184,ok
Kebbi,North West,2024,2.15,Agricultural Productivity Survey 2024,Table 12.2,North,2129.96,3373.3050000000003,14,32.69858695652174,23.96777173913044,77.36255434782608,19.6483695652174,13.219542711920042,184,184,ok
Kogi,North Central,2020,2.39,NAERLS Agricultural Performance Survey 2021,Table 11.2,Middle,1339.9899999999998,3554.88,8,30.27598130841121,22.947196261682244,82.7826168224299,17.2361214953271,1.2647628343744417,214,214,ok
Kogi,North Central,2021,2.47,NAERLS Agricultural Performance Survey 2021,Table 11.2,Middle,1467.4700000000005,3608.24,10,30.40850467289719,23.31336448598131,82.64439252336449,17.35032710280374,1.8103261593704807,214,214,ok
Kogi,North Central,2022,2.67,NAERLS Agricultural Performance Survey 2023,Table 12.2,Middle,1208.4899999999998,3457.01,9,29.44831775700933,22.86018691588785,85.28700934579439,16.530467289719624,0.7019955199958812,214,214,ok
Kogi,North Central,2023,2.73,NAERLS Agricultural Performance Survey 2023,Table 12.2,Middle,1300.41,3649.315,10,30.4420093457944,23.663738317757005,84.13168224299065,16.909579439252333,1.0953762921455197,214,214,ok
Kogi,North Central,2024,2.79,Agricultural Productivity Survey 2024,Table 12.2,Middle,876.2099999999998,3787.005,7,31.41172897196261,23.98084112149533,80.40649532710282,16.695794392523368,-0.7200297516520892,214,214,ok
Kwara,North Central,2020,1.96,NAERLS Agricultural Performance Survey 2021,Table 11.2,Middle,1129.14,3347.15,10,29.38845794392524,21.893317757009346,84.41827102803738,17.28565420560748,0.0159723665127039,214,214,ok
Kwara,North Central,2021,1.96,NAERLS Agricultural Performance Survey 2021,Table 11.2,Middle,1451.07,3422.2700000000004,5,29.76336448598131,22.22046728971963,83.44364485981309,18.035046728971963,1.5131288525906397,214,214,ok
