Model,State,Year,Feature,Feature_Value,SHAP_Value,Absolute_SHAP,Fold
RandomForest,Imo,2021,Mean_Tmin_C,23.36261818181818,0.06486091063334468,0.06486091063334468,1
RandomForest,Imo,2021,Mean_RH_pct,89.1672,0.009869085020281632,0.009869085020281632,1
RandomForest,Imo,2021,Mean_Solar_Radiation_MJ_m2_day,15.99338181818182,-0.0782380527202418,0.0782380527202418,1
RandomForest,Imo,2021,Rainfall_Anomaly_Z_2000_2019,1.2247128384451134,0.05243418137665757,0.05243418137665757,1
RandomForest,Imo,2022,Seasonal_Rainfall_mm,1574.03,0.00662726785240843,0.00662726785240843,1
RandomForest,Imo,2022,Seasonal_GDD_C,4493.415,-0.2604605582682862,0.2604605582682862,1
RandomForest,Imo,2022,Max_CDD_days,12.0,-0.007623894651257904,0.007623894651257904,1
RandomForest,Imo,2022,Mean_Tmax_C,29.49570909090909,0.08882867304387868,0.08882867304387868,1
RandomForest,Imo,2022,Mean_Tmin_C,23.18367272727273,0.030627094135872238,0.030627094135872238,1
RandomForest,Imo,2022,Mean_RH_pct,88.05512727272728,-0.02230949978881596,0.02230949978881596,1
RandomForest,Imo,2022,Mean_Solar_Radiation_MJ_m2_day,15.806545454545452,-0.05639642471813774,0.05639642471813774,1
RandomForest,Imo,2022,Rainfall_Anomaly_Z_2000_2019,-0.4352260171886667,0.020432861654772146,0.020432861654772146,1
RandomForest,Imo,2023,Seasonal_Rainfall_mm,1735.31,0.018009452894960032,0.018009452894960032,1
RandomForest,Imo,2023,Seasonal_GDD_C,4579.02,-0.2260303659770381,0.2260303659770381,1
RandomForest,Imo,2023,Max_CDD_days,5.0,-0.0005944807198422841,0.0005944807198422841,1
RandomForest,Imo,2023,Mean_Tmax_C,29.56218181818182,0.10148312019131202,0.10148312019131202,1
RandomForest,Imo,2023,Mean_Tmin_C,23.73978181818182,0.010956611740307333,0.010956611740307333,1
RandomForest,Imo,2023,Mean_RH_pct,89.20345454545453,0.018760537986182414,0.018760537986182414,1
RandomForest,Imo,2023,Mean_Solar_Radiation_MJ_m2_day,15.72330909090909,-0.05918254400685603,0.05918254400685603,1
RandomForest,Imo,2023,Rainfall_Anomaly_Z_2000_2019,-0.1534742031780414,0.029739829490549395,0.029739829490549395,1
RandomForest,Imo,2024,Seasonal_Rainfall_mm,1603.58,0.0231893018096373,0.0231893018096373,1
RandomForest,Imo,2024,Seasonal_GDD_C,4689.094999999999,-0.2960271442548057,0.2960271442548057,1
RandomForest,Imo,2024,Max_CDD_days,21.0,0.015720699298376162,0.015720699298376162,1
RandomForest,Imo,2024,Mean_Tmax_C,30.22494545454545,0.09684638609389991,0.09684638609389991,1
RandomForest,Imo,2024,Mean_Tmin_C,23.87756363636364,-0.01677561587864638,0.01677561587864638,1
RandomForest,Imo,2024,Mean_RH_pct,87.54370909090908,-0.005186686580152857,0.005186686580152857,1
RandomForest,Imo,2024,Mean_Solar_Radiation_MJ_m2_day,15.994727272727271,-0.04958565981948584,0.04958565981948584,1
